PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
ORPD11;Títulos e Val. Mob.;93.0;0.0;0.0;0.65;26970000.0;0.0;0;0.0;0.0;0.0;0.0
OUCY11;Híbrido;88.5;0.0;0.0;0.0;0.0;0.0;8;0.0;161.02;0.0;0.0
OUFF11;Títulos e Val. Mob.;61.1;0.0;0.07400000000000001;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0
OUJP11;Híbrido;67.97;0.1612;0.1589;0.7;221065000.0;409955.0;0;0.0;0.0;0.0;0.0
OULG11;Logística;35.01;0.1229;0.0298;0.57;86869800.0;411851.0;2;1172.17;206.48;0.17620000000000002;0.0
OURE11;Híbrido;78.2;0.0;0.0814;0.0;0.0;0.0;8;0.0;161.02;0.0;0.0
PATA11;Outros;10.44;0.0127;0.0;1.05;17769000.0;24532.0;0;0.0;0.0;0.0;0.0
PATC11;Lajes Corporativas;36.0;0.046799999999999994;0.0417;0.87;125188000.0;850216.0;4;16034.8;1087.31;0.0678;0.0
PATL11;Logística;44.11;0.1493;0.1561;0.46;220177000.0;432184.0;4;1416.22;257.96;0.1821;0.0273
PDDA11B;Logística;106.5;0.0404;0.0;1.73;264257000.0;0.0;2;3565.74;206.48;0.0579;0.0
PEMA11;Títulos e Val. Mob.;35.0;0.22039999999999998;0.15810000000000002;0.53;19320000.0;216.0;0;0.0;0.0;0.0;0.0
PLCA11;Títulos e Val. Mob.;65.4;0.2644;0.16620000000000001;0.69;36429000.0;90267.0;0;0.0;0.0;0.0;0.0
PLCR11;Títulos e Val. Mob.;71.82;0.198;0.12990000000000002;0.8;151481000.0;267868.0;0;0.0;0.0;0.0;0.0
PLOG11;Logística;66.71;0.154;0.0;0.62;50032500.0;0.0;1;697.1;134.42;0.1928;0.0
PLRI11;Títulos e Val. Mob.;14.7;-0.037200000000000004;0.4843;0.73;14028300.0;1759.0;0;0.0;0.0;0.0;0.0
